h,h,h,h
0.3624286384026968,0.36090138415230727,0.36013888409277495,0.35975789475127584
0.29699350132513214,0.29574198712571365,0.29511715360417085,0.2948049504653735
0.362684674362216,0.3610268743353558,0.36020100345789885,0.35978879892510524
0.2969934754804082,0.29574198062404405,0.2951171519777229,0.29480495005883844
0.3629409165497473,0.3611526609939985,0.36026331823642144,0.3598198124429396
0.29699339787503426,0.2957419611019991,0.29511714709422315,0.2948049488382077
0.36345288762468864,0.3614045437641513,0.36038824066856,0.3598820199987116
0.2969930863941387,0.2957418827606452,0.2951171274985009,0.2948049439404534
0.3647662195181461,0.3620538436227312,0.3607110474380624,0.3600429628023899
0.29699127379989715,0.295741427311035,0.29511701362876563,0.2948049154863535
s,s,s,s
0.00015099305729978626,3.759271939089206e-05,9.378543503086252e-06,2.3421692193912767e-06
0.00012373182472802234,3.080549430488893e-05,7.685282500117192e-06,1.9192993142624687e-06
0.0005427180820710585,0.00026671383630321724,0.00013179300463494076,6.544162491187058e-05
0.0003712476430876305,0.0001572722355350836,7.034957264452857e-05,3.296805928352262e-05
0.00107601866174374,0.0005323542671919292,0.0002634288090706262,0.00013085418289047982
0.0006461523032317345,0.0002869579378844773,0.000133402386960151,6.4064050659232e-05
0.002160970592186335,0.0010652432857856736,0.0005267483919563537,0.00026164920278273063
0.0011952036735606048,0.0005461614879816041,0.0002594684417269419,0.00012624642134886877
0.004955379395100359,0.002443080966714603,0.0012093470795957102,0.000601194998322066
0.0026118753428226093,0.001217685257556116,0.0005866730660695243,0.0002877828383304283
